,delta_idx
1774,1825
1775,1827
1776,1831
1777,1834
1778,1835
1779,1837
1780,1838
1781,1839
1782,1843
1783,1844
1784,1848
1785,1849
1786,1854
1787,1859
1788,1861
1789,1866
1790,1867
1791,1882
1792,1892
1793,1897
1794,1899
1795,1900
1796,1904
1797,1907
1798,1913
1799,1915
1800,1927
1801,1928
1802,1929
1803,1930
1804,1931
1805,1936
1806,1937
1807,1939
1808,1943
1809,1950
1810,1954
1811,1959
1812,1960
1813,1961
1814,1965
1815,1972
1816,1973
1817,1975
1818,1977
1819,1980
1820,1981
1821,1982
1822,1988
1823,1991
1824,2002
1825,2005
1826,2007
1827,2008
1828,2010
1829,2026
1830,2027
1831,2030
1832,2032
1833,2034
1834,2041
1835,2043
1836,2046
1837,2049
1838,2051
1839,2052
1840,2061
1841,2067
1842,2070
1843,2071
1844,2078
1845,2083
1846,2084
1847,2085
1848,2086
1849,2088
1850,2090
1851,2095
1852,2097
1853,2110
1854,2116
1855,2118
1856,2120
1857,2121
1858,2122
1859,2125
1860,2126
1861,2128
1862,2132
1863,2134
1864,2137
1865,2141
1866,2149
1867,2167
1868,2168
1869,2181
1870,2182
1871,2188
1872,2193
1873,2196
1874,2201
1875,2206
1876,2211
1877,2213
1878,2224
1879,2225
1880,2230
1881,2232
1882,2240
1883,2250
1884,2256
1885,2262
1886,2263
1887,2267
1888,2268
1889,2270
1890,2272
1891,2276
1892,2279
1893,2280
1894,2283
1895,2289
1896,2292
1897,2298
1898,2303
1899,2306
1900,2311
1901,2312
1902,2313
1903,2322
1904,2325
1905,2333
1906,2334
1907,2337
1908,2339
1909,2343
1910,2345
1911,2353
1912,2356
1913,2359
1914,2362
1915,2363
1916,2368
1917,2373
1918,2374
1919,2377
1920,2380
1921,2382
1922,2387
1923,2389
1924,2390
1925,2393
1926,2394
1927,2396
1928,2398
1929,2403
1930,2405
1931,2411
1932,2413
1933,2415
1934,2417
1935,2418
1936,2420
1937,2422
1938,2423
1939,2426
1940,2427
1941,2429
1942,2435
1943,2440
1944,2441
1945,2445
1946,2453
1947,2456
1948,2457
1949,2469
1950,2470
1951,2473
1952,2475
1953,2477
1954,2479
1955,2482
1956,2483
1957,2484
1958,2486
1959,2490
1960,2496
1961,2498
1962,2504
1963,2510
1964,2512
1965,2525
1966,2526
1967,2527
1968,2529
1969,2530
1970,2534
1971,2536
1972,2539
1973,2540
1974,2541
1975,2542
1976,2546
1977,2547
1978,2552
1979,2555
1980,2564
1981,2572
1982,2573
1983,2574
1984,2576
1985,2577
1986,2580
1987,2581
1988,2584
1989,2590
1990,2591
1991,2592
1992,2605
1993,2616
1994,2620
1995,2621
1996,2622
1997,2627
1998,2631
1999,2633
2000,2638
2001,2652
2002,2653
2003,2655
2004,2660
2005,2664
2006,2667
2007,2668
2008,2670
2009,2677
2010,2680
2011,2685
2012,2687
2013,2689
2014,2713
2015,2727
2016,2728
2017,2732
2018,2744
2019,2750
2020,2754
2021,2768
2022,2772
2023,2773
2024,2779
2025,2782
2026,2784
2027,2789
2028,2793
2029,2800
2030,2805
2031,2806
2032,2808
2033,2822
2034,2831
2035,2832
2036,2837
2037,2839
2038,2847
2039,2850
2040,2851
2041,2853
2042,2854
2043,2860
2044,2862
2045,2867
2046,2870
2047,2873
2048,2876
2049,2879
2050,2881
2051,2883
2052,2886
2053,2888
2054,2895
2055,2897
2056,2902
2057,2903
2058,2909
2059,2910
2060,2915
2061,2919
2062,2925
2063,2928
2064,2932
2065,2939
2066,2941
2067,2948
2068,2954
2069,2955
2070,2964
2071,2972
2072,2973
2073,2974
2074,2978
2075,2981
